                      Index           Host API        Max Input Channels  Max Output Channels  Default Samplerate                                        Device Name                                        
0                        0                       MME           2                   0                 44100.0                                                                         Microsoft 声音映射器 - Input
1                        1                       MME          16                   0                 44100.0                                                                 CABLE Output (VB-Audio Virtual 
2                        2                       MME           8                   0                 44100.0                                                                 Voicemeeter Out A2 (VB-Audio Vo
3                        3                       MME           8                   0                 44100.0                                                                 Voicemeeter Out A5 (VB-Audio Vo
4                        4                       MME           8                   0                 44100.0                                                                 Voicemeeter Out A3 (VB-Audio Vo
5                        5                       MME           1                   0                 44100.0                                                                    耳机 (2- MI Portable Speaker​)
6                        6                       MME           8                   0                 44100.0                                                                 Voicemeeter Out B1 (VB-Audio Vo
7                        7                       MME           2                   0                 44100.0                                                                 Microphone (High Definition Aud
8                        8                       MME           8                   0                 44100.0                                                                 Voicemeeter Out B3 (VB-Audio Vo
9                        9                       MME           8                   0                 44100.0                                                                 Voicemeeter Out A1 (VB-Audio Vo
10                      10                       MME           8                   0                 44100.0                                                                 Voicemeeter Out A4 (VB-Audio Vo
11                      11                       MME           8                   0                 44100.0                                                                 Voicemeeter Out B2 (VB-Audio Vo
12                      12                       MME           0                   2                 44100.0                                                                        Microsoft 声音映射器 - Output
13                      13                       MME           0                   2                 44100.0                                                                 Headphones (High Definition Aud
14                      14                       MME           0                   8                 44100.0                                                                 Voicemeeter In 3 (VB-Audio Voic
15                      15                       MME           0                   2                 44100.0                                                                 2 - G249G (AMD High Definition 
16                      16                       MME           0                   2                 44100.0                                                                    耳机 (2- MI Portable Speaker​)
17                      17                       MME           0                   8                 44100.0                                                                 Voicemeeter In 1 (VB-Audio Voic
18                      18                       MME           0                  16                 44100.0                                                                 CABLE In 16ch (VB-Audio Virtual
19                      19                       MME           0                  16                 44100.0                                                                 CABLE Input (VB-Audio Virtual C
20                      20                       MME           0                   8                 44100.0                                                                 Voicemeeter In 2 (VB-Audio Voic
21                      21                       MME           0                   8                 44100.0                                                                 Voicemeeter AUX Input (VB-Audio
22                      22                       MME           0                   8                 44100.0                                                                 Voicemeeter VAIO3 Input (VB-Aud
23                      23                       MME           0                   8                 44100.0                                                                 Voicemeeter In 4 (VB-Audio Voic
24                      24                       MME           0                   8                 44100.0                                                                 Voicemeeter Input (VB-Audio Voi
25                      25                       MME           0                   8                 44100.0                                                                 Voicemeeter In 5 (VB-Audio Voic
26                      26       Windows DirectSound           2                   0                 44100.0                                                                                       主声音捕获驱动程序
27                      27       Windows DirectSound          16                   0                 44100.0                                                           CABLE Output (VB-Audio Virtual Cable)
28                      28       Windows DirectSound           8                   0                 44100.0                                                  Voicemeeter Out A2 (VB-Audio Voicemeeter VAIO)
29                      29       Windows DirectSound           8                   0                 44100.0                                                  Voicemeeter Out A5 (VB-Audio Voicemeeter VAIO)
30                      30       Windows DirectSound           8                   0                 44100.0                                                  Voicemeeter Out A3 (VB-Audio Voicemeeter VAIO)
31                      31       Windows DirectSound           1                   0                 44100.0                                                                    耳机 (2- MI Portable Speaker​)
32                      32       Windows DirectSound           8                   0                 44100.0                                                  Voicemeeter Out B1 (VB-Audio Voicemeeter VAIO)
33                      33       Windows DirectSound           2                   0                 44100.0                                                       Microphone (High Definition Audio Device)
34                      34       Windows DirectSound           8                   0                 44100.0                                                  Voicemeeter Out B3 (VB-Audio Voicemeeter VAIO)
35                      35       Windows DirectSound           8                   0                 44100.0                                                  Voicemeeter Out A1 (VB-Audio Voicemeeter VAIO)
36                      36       Windows DirectSound           8                   0                 44100.0                                                  Voicemeeter Out A4 (VB-Audio Voicemeeter VAIO)
37                      37       Windows DirectSound           8                   0                 44100.0                                                  Voicemeeter Out B2 (VB-Audio Voicemeeter VAIO)
38                      38       Windows DirectSound           0                   2                 44100.0                                                                                         主声音驱动程序
39                      39       Windows DirectSound           0                   2                 44100.0                                                       Headphones (High Definition Audio Device)
40                      40       Windows DirectSound           0                   8                 44100.0                                                    Voicemeeter In 3 (VB-Audio Voicemeeter VAIO)
41                      41       Windows DirectSound           0                   2                 44100.0                                                    2 - G249G (AMD High Definition Audio Device)
42                      42       Windows DirectSound           0                   2                 44100.0                                                                    耳机 (2- MI Portable Speaker​)
43                      43       Windows DirectSound           0                   8                 44100.0                                                    Voicemeeter In 1 (VB-Audio Voicemeeter VAIO)
44                      44       Windows DirectSound           0                  16                 44100.0                                                          CABLE In 16ch (VB-Audio Virtual Cable)
45                      45       Windows DirectSound           0                  16                 44100.0                                                            CABLE Input (VB-Audio Virtual Cable)
46                      46       Windows DirectSound           0                   8                 44100.0                                                    Voicemeeter In 2 (VB-Audio Voicemeeter VAIO)
47                      47       Windows DirectSound           0                   8                 44100.0                                               Voicemeeter AUX Input (VB-Audio Voicemeeter VAIO)
48                      48       Windows DirectSound           0                   8                 44100.0                                             Voicemeeter VAIO3 Input (VB-Audio Voicemeeter VAIO)
49                      49       Windows DirectSound           0                   8                 44100.0                                                    Voicemeeter In 4 (VB-Audio Voicemeeter VAIO)
50                      50       Windows DirectSound           0                   8                 44100.0                                                   Voicemeeter Input (VB-Audio Voicemeeter VAIO)
51                      51       Windows DirectSound           0                   8                 44100.0                                                    Voicemeeter In 5 (VB-Audio Voicemeeter VAIO)
