      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2023/01/03	3087.51	3119.86	3073.05	3116.51	281370362	331392122880.00
2023/01/04	3117.57	3129.09	3109.45	3123.52	273313626	316391227392.00
2023/01/05	3132.76	3159.43	3130.23	3155.22	257003018	335635939328.00
2023/01/06	3155.07	3170.74	3151.84	3157.64	257380255	338539839488.00
2023/01/09	3169.37	3183.58	3165.43	3176.08	258115218	342693773312.00
2023/01/10	3178.02	3178.16	3165.14	3169.51	232984175	310357688320.00
2023/01/11	3172.38	3184.76	3160.89	3161.84	237742869	309248884736.00
2023/01/12	3167.27	3171.59	3153.40	3163.45	216671305	275371851776.00
2023/01/13	3170.35	3195.31	3167.51	3195.31	220226897	288062504960.00
2023/01/16	3198.52	3251.37	3197.32	3227.59	306749549	413219651584.00
2023/01/17	3229.44	3231.26	3211.76	3224.24	226592230	302611791872.00
2023/01/18	3227.59	3234.82	3220.37	3224.41	212109730	266068180992.00
2023/01/19	3221.52	3240.28	3210.38	3240.28	226465030	296815558656.00
2023/01/20	3247.20	3267.06	3247.20	3264.81	273219182	329028173824.00
2023/01/30	3308.87	3310.49	3266.76	3269.32	353325829	453177016320.00
2023/01/31	3266.14	3277.25	3252.01	3255.67	300162957	375260741632.00
2023/02/01	3262.20	3284.92	3245.41	3284.92	339509410	413395189760.00
2023/02/02	3291.78	3295.76	3272.41	3285.67	333413133	428662816768.00
2023/02/03	3275.66	3275.66	3235.35	3263.41	293342814	378648526848.00
2023/02/06	3244.70	3250.35	3226.21	3238.70	267053107	349127278592.00
2023/02/07	3245.23	3250.03	3233.83	3248.09	250946450	321257635840.00
2023/02/08	3251.50	3257.11	3230.44	3232.11	234530481	293332746240.00
2023/02/09	3227.73	3270.38	3225.77	3270.38	254754529	351760842752.00
2023/02/10	3266.44	3269.99	3247.23	3260.67	260626926	341749858304.00
2023/02/13	3256.99	3285.09	3252.63	3284.16	297213188	397011419136.00
2023/02/14	3288.97	3293.73	3279.19	3293.28	270974168	355558064128.00
2023/02/15	3294.02	3296.20	3274.55	3280.49	269939123	357621825536.00
2023/02/16	3281.74	3308.83	3231.34	3249.03	380863545	468382515200.00
2023/02/17	3244.73	3262.47	3223.26	3224.02	278451237	355625828352.00
2023/02/20	3230.47	3291.04	3225.84	3290.34	325007733	397720322048.00
2023/02/21	3291.63	3308.79	3282.44	3306.52	324409449	390691258368.00
2023/02/22	3292.05	3307.03	3286.72	3291.15	255403985	320515604480.00
2023/02/23	3293.52	3307.44	3275.36	3287.48	262324304	334364540928.00
2023/02/24	3287.26	3288.39	3253.97	3267.16	234206306	308004356096.00
2023/02/27	3257.00	3276.58	3251.72	3258.03	242855344	324605083648.00
2023/02/28	3265.74	3280.42	3246.14	3279.61	251625032	318030151680.00
2023/03/01	3279.14	3315.16	3272.04	3312.35	318398704	384387416064.00
2023/03/02	3308.01	3320.74	3306.46	3310.65	328520016	389390630912.00
2023/03/03	3314.77	3330.60	3302.62	3328.39	343996919	388860018688.00
2023/03/06	3332.02	3333.06	3308.73	3322.03	340530446	431616819200.00
2023/03/07	3320.21	3342.86	3284.41	3285.10	389957956	430081146880.00
2023/03/08	3271.88	3283.25	3263.69	3283.25	260443547	312822169600.00
2023/03/09	3285.94	3289.06	3260.00	3276.09	264021859	328825700352.00
2023/03/10	3255.51	3262.15	3229.50	3230.08	281135410	342198583296.00
2023/03/13	3228.12	3268.70	3228.12	3268.70	294928087	364414205952.00
2023/03/14	3261.92	3262.00	3216.99	3245.31	319906033	409976274944.00
2023/03/15	3261.03	3273.12	3256.86	3263.31	305168798	373276377088.00
2023/03/16	3244.47	3257.43	3224.72	3226.89	327389632	392910209024.00
2023/03/17	3245.26	3279.92	3240.16	3250.55	343001022	431983067136.00
2023/03/20	3253.93	3267.99	3231.65	3234.91	392517391	480292405248.00
2023/03/21	3240.84	3256.00	3237.89	3255.65	301810779	388047044608.00
2023/03/22	3263.41	3279.39	3255.74	3265.75	290840462	382509088768.00
2023/03/23	3258.78	3286.65	3252.99	3286.65	306118393	426564780032.00
2023/03/24	3282.74	3282.74	3260.84	3265.65	324513337	430761607168.00
2023/03/27	3261.82	3261.82	3229.70	3251.40	337861206	453585764352.00
2023/03/28	3256.60	3264.10	3241.74	3245.38	295682660	396882935808.00
2023/03/29	3253.62	3254.56	3229.58	3240.06	296900508	405542764544.00
2023/03/30	3243.07	3263.74	3220.98	3261.25	299898295	401634263040.00
2023/03/31	3263.41	3278.42	3260.04	3272.86	283613746	396689276928.00
2023/04/03	3277.34	3299.73	3276.42	3296.40	357676775	513390575616.00
2023/04/04	3297.18	3312.56	3290.99	3312.56	385871617	555811078144.00
2023/04/06	3302.75	3314.53	3296.06	3312.63	327155424	506500153344.00
2023/04/07	3312.48	3328.85	3308.06	3327.65	283032247	436372799488.00
2023/04/10	3331.51	3332.72	3309.92	3315.36	340819845	516434329600.00
2023/04/11	3317.08	3317.45	3298.25	3313.57	320566055	466895863808.00
2023/04/12	3316.86	3330.71	3315.40	3327.18	343025315	482066169856.00
2023/04/13	3321.27	3334.47	3309.25	3318.36	347862106	477587931136.00
2023/04/14	3326.37	3340.08	3316.81	3338.15	338299275	478345428992.00
2023/04/17	3337.06	3385.61	3336.39	3385.61	402809926	523790286848.00
2023/04/18	3379.23	3396.17	3375.78	3393.33	348399486	474287374336.00
2023/04/19	3391.35	3394.96	3364.64	3370.13	346123443	476496953344.00
2023/04/20	3367.05	3371.37	3344.02	3367.03	350354965	499672383488.00
2023/04/21	3364.00	3367.61	3301.26	3301.26	387395098	530517852160.00
2023/04/24	3300.81	3303.09	3264.93	3275.41	354255626	473265995776.00
2023/04/25	3276.40	3288.57	3229.45	3264.87	380895729	494240137216.00
2023/04/26	3255.22	3277.98	3239.99	3264.10	357917842	480418136064.00
2023/04/27	3256.23	3299.30	3253.11	3285.88	341590534	466175361024.00
2023/04/28	3283.12	3324.88	3283.12	3323.27	401554785	514904621056.00
